song,artist
Matt Hardy 999,Trippie Redd
Blinding Lights,The Weeknd
Glad You Exist,Dan + Shay
Without You,The Kid LAROI
Astronaut In The Ocean,Masked Wolf
Rapstar,Polo G
Famous Friends,Chris Young + Kane Brown
Lil Bit,Nelly
Beautiful Mistakes,Maroon 5
Rich MF,Trippie Redd
Already Won,Rod Wave
Betrayal,Trippie Redd
Don't Go,Skrillex
Tombstone,Rod Wave
Visiting Hours,Ed Sheeran
Holy Smokes,Trippie Redd
Miss The Rage,Trippie Redd
You,Regard
MP5,Trippie Redd
Paralyzed,Sueco
I Guess I'm In Love,Clinton Kane
Get Ready,Rod Wave
Danny Phantom,Trippie Redd
What's Wrong,Rod Wave
Demon Time,Trippie Redd
Tick Tock,Young Thug
Permission To Dance,BTS
Time Heals,Rod Wave
Mind Of Melvin,YNW Melly
Papercuts,Machine Gun Kelly
SUVs (Black On Black),Jack Harlow
Straightenin,Migos
Blame It On You,Jason Aldean
Hats Off,Lil Baby
Over The Top,Smiley
Brainwashed,Tom MacDonald
m y . l i f e,J. Cole
WUSYANAME,Tyler The Creator
Favorite Crime,Olivia Rodrigo
Outside,MO3
Ball If I Want To,DaBaby
Next Girl,Carly Pearce
I Like Dat,T-Pain
Steal My Love,Dan + Shay
5500 Degrees,EST Gee
Telepatia,Kali Uchis
My Ex's Best Friend,Machine Gun Kelly
NDA,Billie Eilish
EPMD 2,Nas
Lose,KSI
I Hope Ur Miserable Until Ur Dead,Nessa Barrett
Not Sober,The Kid LAROI
Happier,Olivia Rodrigo
Twerkulator,City Girls
Fiel,Los Legendarios
Rare,Nas
Best Friend,Saweetie
Mood,24kGoldn
One Too Many,Keith Urban Duet
Getting Older,Billie Eilish
Billie Bossa Nova,Billie Eilish
Oxytocin,Billie Eilish
I Didn't Change My Number,Billie Eilish
Way Less Sad,AJR
Lost Cause,Billie Eilish
Halley's Comet,Billie Eilish
My Future,Billie Eilish
Build A Bitch,Bella Poarch
From The Garden,Isaiah Rashad
Working,Tate McRae
Wants And Needs,Drake
Settling Down,Miranda Lambert
Gone,Dierks Bentley
Red Light Green Light,DaBaby
Better Believe,Belly
Lick Back,EST Gee
Ski,Young Thug
Minimum Wage,Blake Shelton
Still Chose You,The Kid LAROI
Drivers License,Olivia Rodrigo
Tell The Vision,Pop Smoke
pov,Ariana Grande
Bout A Million,Pop Smoke
Mr. Jones,Pop Smoke
More Time,Pop Smoke
Manslaughter,Pop Smoke
Demeanor,Pop Smoke
transparentsoul,Willow
Am I The Only One,Aaron Lewis
30,Pop Smoke
"Jealousy, Jealousy",Olivia Rodrigo
Calling My Phone,Lil Tjay
Breaking Up Was Easy In The 90's,Sam Hunt
The Jackie,Bas
Follow You,Imagine Dragons
Volando,Mora
4 Da Gang,42 Dugg
De Museo,Bad Bunny
Wasting Time,Brent Faiyaz
All I Know So Far,P!nk
Levitating,Dua Lipa
Track Star,Mooski
Renegade,Big Red Machine
Cry No More,G Herbo
Essence,Wizkid
Made For You,Jake Owen
Having Our Way,Migos
What's Next,Drake
Enough For You,Olivia Rodrigo
Juggernaut,Tyler The Creator
Tell Em,Cochise
Lemonhead,Tyler The Creator
Lumberjack,Tyler The Creator
Almost Maybes,Jordan Davis
Hot Wind Blows,Tyler The Creator
Corso,Tyler The Creator
I Don't Do Drugs,Doja Cat
Sir Baudelaire,Tyler The Creator
Sweet / I Thought You Wanted To Dance,Tyler The Creator
Massa,Tyler The Creator
RunItUp,Tyler The Creator
Manifesto,Tyler The Creator
Wilshire,Tyler The Creator
Rise!,Tyler The Creator
What You Know Bout Love,Pop Smoke
Time Today,Moneybagg Yo
Up,Cardi B
Beat Box,SpotemGottem
Nobody,Dylan Scott
No Return,Polo G
No More Parties,Coi Leray
Quicksand,Morray
Gang Gang,Polo G
Pick Up Your Feelings,Jazmine Sullivan
Avalanche,Migos
We're Good,Dua Lipa
p r i d e . i s . t h e . d e v i l,J. Cole
Still Runnin,Lil Baby
How It Feels,Lil Baby
Black Hearted,Polo G
Painting Pictures,Polo G
Modern Day,Migos
Toxic,Polo G
Solar Power,Lorde
Malibu,Migos
Type Shit,Migos
Clueless,Polo G
Voice Of The Heroes,Lil Baby
Heart Of A Giant,Polo G
Party Lyfe,Polo G
Go Part 1,Polo G
Epidemic,Polo G
Boom,Polo G
2040,Lil Baby
"1 Step Forward, 3 Steps Back",Olivia Rodrigo
Bloody Canvas,Polo G
Who I Want,Lil Baby
Back In Blood,Pooh Shiesty
Still Hood,Lil Baby
Okay,Lil Baby
Man Of My Word,Lil Baby
Medical,Lil Baby
Rich Off Pain,Lil Baby
Lying,Lil Baby
Snowflakes,Tom MacDonald
That's Facts,Lil Baby
Your Power,Billie Eilish
Please,Lil Baby
Up The Side,Lil Baby
Hope Ur OK,Olivia Rodrigo
If You Want To,Lil Baby
Seeing Green,Nicki Minaj
The Good Ones,Gabby Barrett
Hell Of A View,Eric Church
On Me,Lil Baby
Killer,Eminem
a m a r i,J. Cole
Goosebumps,Travis Scott
Solid,Young Thug
Hello,Pop Smoke
The Business,Tiesto
9 5 . s o u t h,J. Cole
Drankin N Smokin,Future
Hold On,Justin Bieber
Wasted On You,Morgan Wallen
Botella Tras Botella,Gera MX + Christian Nodal
i n t e r l u d e,J. Cole
a p p l y i n g . p r e s s u r e,J. Cole
Streets,Doja Cat
1 0 0 . m i l ',J. Cole
l e t . g o . m y . h a n d,J. Cole
24 Hours,A Boogie Wit da Hoodie
p u n c h i n ' . t h e . c l o c k,J. Cole
t h e . c l i m b . b a c k,J. Cole
h u n g e r . o n . h i l l s i d e,J. Cole
c l o s e,J. Cole
Fractions,Nicki Minaj
His & Hers,Internet Money
White Teeth,YoungBoy Never Broke Again
Itty Bitty Piggy,Nicki Minaj
Street Runner,Rod Wave
La Noche de Anoche,Bad Bunny
Shottas (Lala),Moneybagg Yo
Never Left,Lil Tecca
Higher Power,Coldplay
Lady,Brett Young
Crocodile Teeth,Nicki Minaj
34+35,Ariana Grande
Positions,Ariana Grande
You Broke Me First.,Tate McRae
Dakiti,Bad Bunny
You're Mines Still,Yung Bleu
Therefore I Am,Billie Eilish
What's Your Country Song,Thomas Rhett
Good Days,SZA
Just The Way,Parmalee
Ramen & OJ,Joyner Lucas
Down To One,Luke Bryan
Hard For The Next,Moneybagg Yo
What You Need,Don Toliver
I Did It,DJ Khaled
Tampa,Cico P
Big Gangsta,Kevin Gates
Hellcats & Trackhawks,Lil Durk
Let It Go,DJ Khaled
Richer,Rod Wave
Headshot,Lil Tjay
Go!,Moneybagg Yo
Without You,The Kid LAROI
Go Crazy,Chris Brown
34+35,Ariana Grande
Sorry Not Sorry,DJ Khaled
Somebody Like That,Tenille Arts
Body In Motion,DJ Khaled
Big Paper,DJ Khaled
Durag Activity,Baby Keem
Final Warning,NLE Choppa
If Pain Was A Person,Moneybagg Yo
Thankful,DJ Khaled
For The Night,Pop Smoke
Willow,Taylor Swift
Damage,H.E.R.
Free Promo,Moneybagg Yo
Just Say Det,Moneybagg Yo
Anyone,Justin Bieber
My Head And My Heart,Ava Max
How They Remember You,Rascal Flatts
Masterpiece,DaBaby
Long Live,Florida Georgia Line
Clear Da Air,Moneybagg Yo
Save Your Tears,The Weeknd
Starting Over,Chris Stapleton
Diamonds Dancing,Young Thug
Cry Baby,Megan Thee Stallion
Proud Of You,Young Thug
Came And Saw,Young Thug
Paid The Fine,Young Thug
Momma's House,Dustin Lynch
Mr. Perfectly Fine (Taylor's Version) (From The Vault),Taylor Swift
Run It Up,Lil Tjay
You Got It,VEDO
Monsters,All Time Low
Slatty,Young Thug
Ruff Ryders' Anthem,DMX
Party Up (Up In Here),DMX
X Gon' Give It To Ya,DMX
Love Story (Taylor's Version),Taylor Swift
Forever & Always (Taylor's Version),Taylor Swift
Fearless (Taylor's Version),Taylor Swift
You All Over Me (Taylor's Version) (From The Vault),Taylor Swift
You Belong With Me (Taylor's Version),Taylor Swift
Shy Away,twenty one pilots
Fifteen (Taylor's Version),Taylor Swift
Big Purr (Prrdd),Coi Leray
Met Him Last Night,Demi Lovato
The Way I Loved You (Taylor's Version),Taylor Swift
Dancing With The Devil,Demi Lovato
Real As It Gets,Lil Baby
Put Your Records On,Ritt Momney
Whoopty,CJ
Lemon Pepper Freestyle,Drake
Film Out,BTS
Body,Megan Thee Stallion
As I Am,Justin Bieber
Girl Like Me,Black Eyed Peas
Buss It,Erica Banks
Dynamite,BTS
SoulFly,Rod Wave
Gone Till November,Rod Wave
Don't Forget,Rod Wave
Blame On You,Rod Wave
All I Got,Rod Wave
Pills & Billz,Rod Wave
How The Game Go,Rod Wave
OMDB,Rod Wave
Clouds,NF
What's Love??,Rod Wave
Shock Da World,Rod Wave
Sneaky Links,Rod Wave
Better Together,Luke Combs
Good Time,Niko Moon
Unstable,Justin Bieber
Off My Face,Justin Bieber
2 Much,Justin Bieber
Deserve You,Justin Bieber
Die For You,Justin Bieber
Love You Different,Justin Bieber
Loved By You,Justin Bieber
Somebody,Justin Bieber
Neighbors,Pooh Shiesty
Bandido,Myke Towers
Beers And Sunshine,Darius Rucker
Throat Baby (Go Baby),BRS Kash
On The Ground,ROSE
Lost,NF
Baila Conmigo,Selena Gomez
Like I Want You,Giveon
Daywalker!,Machine Gun Kelly
Opp Stoppa,YBN Nahmir
Still Trappin',Lil Durk
Finesse Out The Gang Way,Lil Durk
Undivided,Tim McGraw
Holy,Justin Bieber
Golden,Harry Styles
Lifestyle,Jason Derulo
Moonwalking In Calabasas,DDG
Tyler Herro,Jack Harlow
Somebody's Problem,Morgan Wallen
Cover Me Up,Morgan Wallen
Life's A Mess II,Juice WRLD
AP,Pop Smoke
I Hope,Gabby Barrett
Bang!,AJR
Lemonade,Internet Money
Lonely,Justin Bieber
Laugh Now Cry Later,Drake
Only Wanna Be With You,Post Malone
Hole In The Bottle,Kelsea Ballerini
Bichota,Karol G
Test Drive,Ariana Grande
Hit Bout It,Lil Yachty
Chicken Tendies,Clinton Kane
ZaZa,6ix9ine
Afterglow,Ed Sheeran
Monster,Shawn Mendes
Before You Go,Lewis Capaldi
What It Feels Like,Nipsey Hussle
So Done,The Kid LAROI
Happy Does,Kenny Chesney
"Big, Big Plans",Chris Lane
Back To The Streets,Saweetie
Bad Boy,Juice WRLD
Kings & Queens,Ava Max
Rockstar,DaBaby
GNF (OKOKOK),Polo G
Provide,G-Eazy
865,Morgan Wallen
Box Of Churches,Pooh Shiesty
Dangerous,Morgan Wallen
Warning,Morgan Wallen
Still Goin Down,Morgan Wallen
Prisoner,Miley Cyrus
Skin,Sabrina Carpenter
7 Summers,Morgan Wallen
More Than My Hometown,Morgan Wallen
Whats Poppin,Jack Harlow
Should've Ducked,Lil Durk
Diamonds,Sam Smith
Gravity,Brent Faiyaz
Holiday,Lil Nas X
Stay Down,Lil Durk
Kanye Krazy,Lil Durk
Backdoor,Lil Durk
Fake Woke,Tom MacDonald
Mr. Right Now,21 Savage
Savage Love (Laxed - Siren Beat),Jawsh 685
Lo Vas A Olvidar,Billie Eilish
Take You Dancing,Jason Derulo
Hit Different,SZA
Champagne Night,Lady A
Kacey Talk,YoungBoy Never Broke Again
Adderall (Corvette Corvette),Popp Hunna
Antes,Anuel AA
I Should Probably Go To Bed,Dan + Shay
WAP,Cardi B
Love You Like I Used To,Russell Dickerson
De Una Vez,Selena Gomez
Better Days,Ant Clemons
Hawai,Maluma
B.S.,Jhene Aiko
Neon Eyes,Morgan Wallen
More Surprised Than Me,Morgan Wallen
Livin' The Dream,Morgan Wallen
Whiskey'd My Way,Morgan Wallen
Your Bartender,Morgan Wallen
Outlaw,Morgan Wallen
Only Thing That's Gone,Morgan Wallen
This Bar,Morgan Wallen
Wonderin' Bout The Wind,Morgan Wallen
Girl Like Me,Jazmine Sullivan
Midnight Sky,Miley Cyrus
Happy Anywhere,Blake Shelton
Pretty Heart,Parker McCollum
Watermelon Sugar,Harry Styles
Ain't Always The Cowboy,Jon Pardi
Way Out,Jack Harlow
Some Girls,Jameson Rodgers
Took Her To The O,King Von
Wonder,Shawn Mendes
Everywhere But On,Matt Stell
Reminds Me Of You,The Kid LAROI
All I Want For Christmas Is You,Mariah Carey
Rockin' Around The Christmas Tree,Brenda Lee
Jingle Bell Rock,Bobby Helms
A Holly Jolly Christmas,Burl Ives
It's The Most Wonderful Time Of The Year,Andy Williams
Run Rudolph Run,Chuck Berry
Feliz Navidad,Jose Feliciano
"Let It Snow, Let It Snow, Let It Snow",Dean Martin
The Christmas Song (Merry Christmas To You),Nat King Cole
Underneath The Tree,Kelly Clarkson
Redman,Lil Durk
Slay3r,Playboi Carti
Go2DaMoon,Playboi Carti
Refugee,Lil Durk
Take Me Home For Christmas,Dan + Shay
Vamp Anthem,Playboi Carti
New N3on,Playboi Carti
Death Ain't Easy,Lil Durk
M3tamorphosis,Playboi Carti
Last Christmas,Wham!
Sleigh Ride,The Ronettes
It's Beginning To Look A Lot Like Christmas,Perry Como And The Fontane Sisters
Rudolph The Red-Nosed Reindeer,Gene Autry
Santa Tell Me,Ariana Grande
Happy Holiday / The Holiday Season,Andy Williams
Christmas (Baby Please Come Home),Darlene Love
White Christmas,Bing Crosby
(There's No Place Like) Home For The Holidays,Perry Como
It's Beginning To Look A Lot Like Christmas,Michael Buble
Here Comes Santa Claus (Right Down Santa Claus Lane),Gene Autry
Wonderful Christmastime,Paul McCartney
"You're A Mean One, Mr. Grinch",Thurl Ravenscroft
Blue Christmas,Elvis Presley
Mele Kalikimaka (Merry Christmas),Bing Crosby
This Christmas,Donny Hathaway
Deck The Halls,Nat King Cole
Please Come Home For Christmas,Eagles
Santa Claus Is Comin' To Town,Jackson 5
Little Saint Nick,The Beach Boys
Have Yourself A Merry Little Christmas,Michael Buble
I'll Be Home For Christmas,Bing Crosby
Hallelujah,Carrie Underwood
Gnat,Eminem
Rockin' Around The Christmas Tree,Justin Bieber
Favorite Time Of Year,Carrie Underwood
Under The Mistletoe,Kelly Clarkson
Champagne Problems,Taylor Swift
The First Noel,Gabby Barrett
Tequila Shots,Kid Cudi
'Tis The Damn Season,Taylor Swift
Silent Night,Carrie Underwood
"No Body, No Crime",Taylor Swift
Gold Rush,Taylor Swift
Tolerate It,Taylor Swift
She Knows This,Kid Cudi
Happiness,Taylor Swift
Show Out,Kid Cudi
Evermore,Taylor Swift
Ivy,Taylor Swift
Coney Island,Taylor Swift
Another Day,Kid Cudi
Dorothea,Taylor Swift
Long Story Short,Taylor Swift
Cowboy Like Me,Taylor Swift
Marjorie,Taylor Swift
Mr. Solo Dolo III,Kid Cudi
Dive,Kid Cudi
Closure,Taylor Swift
Heaven On Earth,Kid Cudi
Sad People,Kid Cudi
Damaged,Kid Cudi
Errbody,Lil Baby
Beautiful Trip,Kid Cudi
Real Shit,Juice WRLD
Dicked Down In Dallas,Trey Lewis
Oh Santa!,Mariah Carey
Don't Stop,Megan Thee Stallion
Life Goes On,BTS
Martin & Gina,Polo G
Heather,Conan Gray
Practice,DaBaby
Te Mudaste,Bad Bunny
Be Like That,Kane Brown
ily,Surf Mesa
Said Sum,Moneybagg Yo
Yo Visto Asi,Bad Bunny
Haciendo Que Me Amas,Bad Bunny
Te Deseo Lo Mejor,Bad Bunny
Booker T,Bad Bunny
El Mundo Es Mio,Bad Bunny
Hoy Cobre,Bad Bunny
Maldita Pobreza,Bad Bunny
La Droga,Bad Bunny
Blue & Grey,BTS
Stay,BTS
One Beer,HARDY
One Of Them Girls,Lee Brice
Come & Go,Juice WRLD
Fly To My Room,BTS
Telepathy,BTS
Dis-ease,BTS
Franchise,Travis Scott
Girls In The Hood,Megan Thee Stallion
Shots Fired,Megan Thee Stallion
Pain Away,Meek Mill
U 2 Luv,Ne-Yo
Wishing Well,Juice WRLD
Do It On The Tip,Megan Thee Stallion
Circles,Megan Thee Stallion
Popstar,DJ Khaled
Got What I Got,Jason Aldean
Stripes Like Burberry,Future
Adore You,Harry Styles
That's It,Future
The Woo,Pop Smoke
Real Baby Pluto,Future
Iris,Phoebe
Mood Swings,Pop Smoke
Marni On Me,Future
Million Dollar Play,Future
Sleeping On The Floor,Future
Blind,DaBaby
Plastic,Future
24,Money Man
Runnin,21 Savage
Relacion,Sech
La Toxica,Farruko
Tap In,Saweetie
Rockstar Chainz,Future
Bought A Bad Bitch,Future
What That Speed Bout!?,Mike WiLL Made-It
Rags2Riches,Rod Wave
Roses,SAINt JHN
Lovin' On You,Luke Combs
Don't Need Friends,NAV
The Code,King Von
Tragic,The Kid LAROI
All These N**gas,King Von
Motive,Ariana Grande
Crazy Story 2.0,King Von
Always Do,The Kid LAROI
Young Wheezy,NAV
Off The Table,Ariana Grande
Just Like Magic,Ariana Grande
"F*ck You, Goodbye",The Kid LAROI
Shut Up,Ariana Grande
Thriller,Michael Jackson
Nasty,Ariana Grande
Break My Heart,Dua Lipa
Safety Net,Ariana Grande
Six Thirty,Ariana Grande
My Hair,Ariana Grande
Obvious,Ariana Grande
West Side,Ariana Grande
Love Language,Ariana Grande
Weeeeee,Trippie Redd
Thick,DJ Chose
Circles,Post Malone
Dreams,Fleetwood Mac
Don't Start Now,Dua Lipa
Spicy,Ty Dolla $ign
The Other Guy,Luke Combs
Without You,Luke Combs
The Bigger Picture,Lil Baby
Whole Lotta Choppas,Sada Baby
Greece,DJ Khaled
Un Dia (One Day),J Balvin
Do It,Chloe
Cardigan,Taylor Swift
Forget Me Too,Machine Gun Kelly
Head & Heart,Joel Corry
"Wine, Beer, Whiskey",Little Big Town
Hate The Way,G-Eazy
OK Not To Be OK,Marshmello
Canceled,Larray
Glock In My Lap,21 Savage
Ice Cream,BLACKPINK
Smile,Juice WRLD
Breaking Me,Topic
3 Headed Goat,Lil Durk
I Called Mama,Tim McGraw
Bloody Valentine,Machine Gun Kelly
La Jeepeta,Nio Garcia
Caramelo,Ozuna
Pardon,T.I.
Dollaz On My Head,Gunna
If The World Was Ending,JP Saxe
"Baby, I'm Jealous",Bebe Rexha
Cool Again,Kane Brown
Rich N*gga Sh*t,21 Savage
Slidin,21 Savage
Many Men,21 Savage
Sofia,Clairo
Fallin',Why Don't We
Outta Time,Bryson Tiller
My Dawg,21 Savage
Brand New Draco,21 Savage
Lovesick Girls,BLACKPINK
Snitches & Rats,21 Savage
Rain On Me,Lady Gaga
No Opp Left Behind,21 Savage
Steppin On N*ggas,21 Savage
RIP Luv,21 Savage
Always Forever,Bryson Tiller
Years Go By,Bryson Tiller
Said N Done,21 Savage
Life Is Good,Future
Chasin' You,Morgan Wallen
Die From A Broken Heart,Maddie
We Paid,Lil Baby
Like That,Doja Cat
Over Now,Calvin Harris
Nobody's Love,Maroon 5
Better,Zayn
Drunk Face,Machine Gun Kelly
"Ay, Dios Mio!",Karol G
Money Over Fallouts,Tory Lanez
Moral Of The Story,Ashe
Say So,Doja Cat
Savage,Megan Thee Stallion
Blueberry Faygo,Lil Mosey
Dolly,Lil Tecca
My Window,YoungBoy Never Broke Again
When You Down,Lil Tecca
Me Gusta,Anitta
Wet. (She Got That...) ,YFN Lucci
Lonely If You Are,Chase Rice
Drug Addiction,YoungBoy Never Broke Again
Wolves,Big Sean
The Bones,Maren Morris
One Margarita,Luke Bryan
Gone Too Soon,Andrew Jannakos
All In,YoungBoy Never Broke Again
Dead Trollz,YoungBoy Never Broke Again
Cross Roads,YoungBoy Never Broke Again
The Last Backyard...,YoungBoy Never Broke Again
Right Foot Creep,YoungBoy Never Broke Again
One Night Standards,Ashley McBryde
Lets Link,WhoHeem
Dirty Stick,YoungBoy Never Broke Again
Got It On Me,Pop Smoke
Death Bed,Powfu
Intentions,Justin Bieber
Party Girl,StaySolidRocky
The Voice,Lil Durk
Lithuania,Big Sean
Deep Reverence,Big Sean
Why We Drink,Justin Moore
After Party,Don Toliver
Body Language,Big Sean
Why Would I Stop?,Big Sean
Need It,Migos
Stuck With U,Ariana Grande
Be A Light,Thomas Rhett
I Love My Country,Florida Georgia Line
God Whispered Your Name,Keith Urban
Blastoff,Internet Money
Expensive,Ty Dolla $ign
The 1,Taylor Swift
Done,Chris Janson
Girl Of My Dreams,Rod Wave
The Box,Roddy Ricch
The Plan,Travis Scott
Spicy,Nas
Hate The Other Side,Juice WRLD
Exile,Taylor Swift
B*tch From da Souf,Mulatto
21,Polo G
Emotionally Scarred,Lil Baby
Bluebird,Miranda Lambert
Toosie Slide,Drake
Mamacita,Black Eyed Peas
Conversations,Juice WRLD
Righteous,Juice WRLD
Past Life,Trevor Daniel
Something Special,Pop Smoke
Hard To Forget,Sam Hunt
Supalonely,BENEE
Letter From Houston,Rod Wave
One Big Country Song,LOCASH
Don't Rush,Young T
Freestyle,Rod Wave
Life's A Mess,Juice WRLD
Move Ya Hips,A$AP Ferg
Be Kind,Marshmello
Falling,Trevor Daniel
Walk Em Down,NLE Choppa
The Last Great American Dynasty,Taylor Swift
My Tears Ricochet,Taylor Swift
August,Taylor Swift
Invisible String,Taylor Swift
Betty,Taylor Swift
No Dribble,DaBaby
Mirrorball,Taylor Swift
Blood On My Jeans,Juice WRLD
Lion King On Ice,J. Cole
Seven,Taylor Swift
This Is Me Trying,Taylor Swift
Illicit Affairs,Taylor Swift
Mad Woman,Taylor Swift
t h e . c l i m b . b a c k,J. Cole
Epiphany,Taylor Swift
Peace,Taylor Swift
Hoax,Taylor Swift
Go!,Kid LAROI
Perfect,Logic
Sunday Best,Surfaces
Titanic,Juice WRLD
Stay High,Juice WRLD
Bad Energy,Juice WRLD
