song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
You Don't Belong,Daughtry,,1yWOt2g4f5FfRC1YBbzxBO,38,2009-07-14,day,0.42,0.872,1,-3.712,0,0.0406,0.0162,0,0.0919,0.312,166.119,4,239973,"[Verse 1]\nWith time to kill and an empty tomb\nI always find a way to pass the time with you\nDark and smoky rooms, I can hardly stand the fumes\nTelling me that you mean no harm\nYou stand me up like a crutch, another arm\nBut only when I'm gone have I been away too long\n[Chorus]\nNo, you don't belong to me, I think you lied to me\nAnd with my back against this wall, it's hard to be strong\nNo, you'd tell me anything, look what you've done to me\nStill, I tell myself that tomorrow you'll be long gone\n[Verse 2]\nAny given time or place, I never will forget the disgrace on\nYour face so full of love, will it ever be enough?\n10 feet tall and bullet proof, I never thought that I had a thing to lose\nWell, it looks like after all, I'm gonna have to choose\n[Chorus]\nNo, you don't belong to me, I think you lied to me\nAnd with my back against this wall, it's hard to be strong\nNo, you'd tell me anything, look what you've done to me\nStill, I tell myself that tomorrow you'll be long gone\n[Bridge]\nYou help pass the time, but I'm doing fine on my own\nSo there's no good reason why to live such a lie\nTell me, have I been gone away too long?\n[Chorus]\nNo, you don't belong to me, I think you lied to me\nAnd with my back against this wall, it's hard to be strong\nNo, you'd tell me anything, look what you've done to me\nStill, I tell myself that tomorrow you'll be long gone\nNo, you don't belong to me, I think you lied to me\nAnd with my back against this wall, it's hard to be strong\nNo, you'd tell me anything, look what you've done to me\nStill, I tell myself that tomorrow you'll be long gone"
Swag Surfin',F.L.Y. (Fast Life Yungstaz),,5ItzU5pBrFmRUudfr5RkJP,60,2009-01-01,day,0.731,0.927,11,-5.663,0,0.0408,0.015,0,0.103,0.669,143.987,4,249920,
Just Dance,Lady Gaga,Colby O'Donis,2x7MyWybabEz6Y6wvHuwGE,75,2008-01-01,day,0.822,0.739,1,-4.541,0,0.0311,0.0264,4.26e-05,0.181,0.745,118.992,4,241933,"[Intro: Lady Gaga & \nAkon\n]\nTruth!\nRedOne\nKonvict\nGaga (\nOh-oh, eh\n)\n[Verse 1: Lady Gaga & \nAkon\n]\nI've had a little bit too much, much \n(Oh, oh, oh-oh)\nAll of the people start to rush (Start to rush by)\nA dizzy twister dance\n, can't find my drink or man\nWhere are my keys? I lost my phone, phone \n(Oh, oh, oh-oh)\n[Pre-Chorus: Lady Gaga]\nWhat's goin' on, on the floor?\nI love this record, baby, but I can't see straight anymore\nKeep it cool, what's the name of this club?\nI can't remember, but it's alright, a-alright\n[Chorus: Lady Gaga]\nJust dance\nGonna be okay, da-da-doo-doot-n\nJust dance\nSpin that record, babe, da-da-doo-doot-n\nJust dance\nGonna be okay\nDa-da-da-dance, dance, dance\nJust, j-j-just dance\n[Verse 2: Lady Gaga & \nAkon\n]\nWish I could shut my playboy mouth \n(Oh, oh, oh-oh)\nHow'd I turn my shirt inside out? (Inside out, right)\nControl your poison, babe, roses have thorns, they say\nAnd we're all gettin' hosed tonight \n(Oh, oh, oh-oh)\n[Pre-Chorus: Lady Gaga]\nWhat's goin' on, on the floor?\nI love this record, baby, but I can't see straight anymore\nKeep it cool, what's the name of this club?\nI can't remember, but it's alright, a-alright"
All the Above (feat. T-Pain),Maino,T-Pain,1z667LebVh3DtYNrVJEao0,61,2009-06-26,day,0.374,0.888,8,-3.197,1,0.12,0.0762,0,0.202,0.365,148.828,4,319940,"[Intro: Maino, \nT-Pain\n]\nYo Pain, you ready? (\nYeah\n)\nMaine let's lock and load (\nYeah\n)\nJust Blaze, Nard turn me up (\nHey\n)\nB, I think we got one (\nYeah\n)\nHere we go!\n[Chorus: T-Pain]\nTell me what do you see, when you're looking at me\nOn a mission to be, what I'm destined to be\nI've done been through the pain and the sorrow\nThe struggle it's nothing but love\nI'm a soldier a rider a ghetto survivor and all the above\nAll the above (x7)\n[Verse 1: Maino]\nListen! Really what do you see, when you looking at me?\nSee me come up from nothing, see me living my dreams\nI've done been through the bottom, I've done suffered a lot\nI deserve to be rich, heading straight to the top\nLook how I ride for the block, look how I rep for the hood\nI got nothing but love, now that I come through the hood\nGetting this fortune and fame, money make all of us change\nThe new Benz is all white, call it John McCain\nHow the hell could you stop me? Why in the world would you try?\nI go hard forever, that's just how I'm designed\nThat's just how I was built, see the look in my eyes\nYou take all of this from me, and I'm still gon' survive\nYou get truth from me, but these rappers gon' lie\nI'm a part of these streets, till the day that I die\nI wave hi to the haters, mad that I finally done made it\nTake a look, and you can tell that I'm destined for greatness\n[Chorus: T-Pain]\nTell me what do you see, when you're looking at me\nOn a mission to be, what I'm destined to be\nI've done been through the pain and the sorrow\nThe struggle it's nothing but love\nI'm a soldier a rider a ghetto survivor and all the above\nAll the above (x7)"
Ignorance,Paramore,,47No93LxERvV6MtOAmQzHS,68,2009-09-28,day,0.522,0.964,11,-2.645,0,0.095,0.00109,0.000389,0.0387,0.51,170.944,4,218627,"[Verse 1]\nIf I'm a bad person, you don't like me\nWell, I guess I'll make my own way\nIt's a circle, a mean cycle\nI can't excite you anymore\nWhere's your gavel? Your jury?\nWhat's my offense this time?\nYou're not a judge, but if you're gonna judge me\nWell, sentence me to another life\n[Pre-Chorus]\nDon't wanna hear your sad songs\nI don't wanna feel your pain\nWhen you swear it's all my fault\n'Cause you know we're not the same (No)\nWe're not the same (No)\nOh, we're not the same\nYeah, the friends who stuck together\nWe wrote our names in blood\nBut I guess you can't accept that the change is good (Hey)\nIt's good (Hey)\nIt's good\n[Chorus]\nWell, you treat me just like another stranger\nWell, it's nice to meet you, sir\nI guess I'll go\nI'd best be on my way out\nYou treat me just like another stranger\nWell, it's nice to meet you, sir\nI guess I'll go\nI'd best be on my way out\n[Post-Chorus]\nIgnorance is your new best friend\nIgnorance is your new best friend\n[Verse 2]\nThis is the best thing that could have happened\nAny longer and I wouldn't have made it\nIt's not a war, no, it's not a rapture\nI'm just a person, but you can't take it\nThe same tricks that, that once fooled me\nThey won't get you anywhere\nI'm not the same kid from your memory\nWell, now I can fend for myself\n[Pre-Chorus]\nDon't wanna hear your sad songs\nI don't wanna feel your pain\nWhen you swear it's all my fault\n’Cause you know we're not the same (No)\nWe're not the same (No)\nOh, we're not the same\nYeah, we used to stick together\nWe wrote our names in blood\nBut I guess you can't accept that the change is good (Hey)\nIt's good (Hey)\nIt's good"
I Wanna Know You,Hannah Montana,,6ftcAmQPmGbk7Gkr5MJe4T,56,2009-01-01,day,0.684,0.741,5,-3.892,1,0.0276,0.127,0,0.348,0.821,83.999,4,166893,"[Intro: Hannah Montana & \nDavid Archuleta\n]\nWhoa, whoa, oh\nWhoa, oh\nWhoa, whoa, oh\nWhoa, oh\nWhoa, whoa, oh (\nWhoa\n)\nWhoa, oh\n[Verse 1: Hannah Montana & \nDavid Archuleta\n]\nWhen I saw you over there, I didn't mean to stare\nBut my mind was everywhere, I wanna know you\nGonna guess that you're the kind to say what's on your mind\nBut you listen when I have something to show you\nThere's a mark above your eye, you got it in July\nFightin' for your sister's reputation\nYou remember people's names and valentines are lame\nSo I bring you flowers just for no occasion, oh\n[Chorus: Hannah Montana & David Archuleta, \nHannah Montana\n]\nWhoa, whoa, oh\nWhoa, oh\n, I wanna know you\nWhoa, whoa, oh\nWhoa, oh\n, I wanna go there where you go\nI wanna find out\n what you know\nAnd maybe someday\n down the road\nI'll sit back and say to myself\n, ""Yeah, I thought so""\n[Verse 2: Hannah Montana & David Archuleta, \nHannah Montana\n]\nYou smile, never shout\nYou stand out in a crowd\nYou make the best of every situation\nCorrect me if I'm wrong\nYou're fragile and you're strong\nA beautiful and perfect combination (\nYeah\n)\n[Chorus: Hannah Montana & David Archuleta, \nHannah Montana\n, \nDavid Archuleta\n]\nWhoa, whoa, oh\n (\nYeah, yeah, yeah\n)\nWhoa, oh\n, I wanna know you\nWhoa, whoa, oh\nWhoa, oh\n, I wanna go there where you go\nI wanna find out\n what you know\nAnd maybe someday\n down the road\nI'll sit back and say to myself\n (\nYeah\n)\nI like how you\n are with me\nIn our future\n history\nAnd maybe someday\n down the road\nI'll sit back and say to myself\n, ""Yeah, I thought so"""
Ice Cream Freeze (Let's Chill),Hannah Montana,,3FRuUuqmFDk3BYHaDzAjTI,43,2009-01-01,day,0.715,0.978,0,-3.555,1,0.0747,0.048,0.000135,0.098,0.789,106.009,4,187400,"[Intro]\nAlright, here we go\nFollow me now\nC'mon, hit it\n[Verse 1]\nEverybody do your dance\nAin't nothing better than an all out jam, no ha\nAre you ready for a little something new tonight? (Oh yeah)\nI got a brand new step I think you are gonna like\n[Pre-Chorus]\nC'mon boys\nGotta do like I do\nJust follow my lead\nEverybody, let's chill\n[Chorus]\nDo the ice cream freeze\nStrike your pose\nThen you do the milkshake\nShake it, shake it down low\nDo the snow cone slide\nLeft to right\nPut your hands in the air\nWe can party all night\nDo the ice cream freeze\nStrike your pose\nThen you do the milkshake\nShake it, shake it down low\nDo the snow cone slide\nLeft to right\nPut your hands in the air\nWe can party all night\n[Post-Chorus]\nShake it, shake it, shake it\nShake it, shake it, shake it down low\nAnd do the ice cream freeze, ha"
Shining Down (feat. Matthew Santos),Lupe Fiasco,Matthew Santos,0hkRONsyMGzkhJGc56L5v0,40,2009-07-07,day,0.371,0.914,0,-3.413,1,0.0826,0.00667,0,0.265,0.646,144.887,4,274107,"[Intro: Matthew Santos]\nLook up in the sky\nLook up in the sky\nLook up in the sky (sky sky)\n[Chorus: Matthew Santos]\nYou thought I was down\nYou thought I was gone\nThought I wasn’t around\nThat I left you alone\nBut look up in the sky (Look up in the sky)\nJust look up in the sky (Look up in the sky)\nSee that I’m everywhere, everywhere\nShining down on you\n[Verse 1: Lupe Fiasco]\nWell, well, is that our little author?\nComing back, humming his hymns, a little altered\nYour attention, put back on the flow like the department of water\nTaking off with the dough, like Little Walter\nChess, yes, baby, I’m Jerry Lawler\nRebel with a cause, outlaw with the lawyer\nJudge, jury, like a loop\nRap name Lupe, but my daddy named me warrior\nThis is his memorial,\n shoot\n[Chorus: Matthew Santos]\nYou thought I was down\nYou thought I was gone\nThought I wasn’t around\nThat I left you alone\nBut look up in the sky (Look up in the sky)\nJust look up in the sky (Look up in the sky)\nSee that I’m everywhere, everywhere\nShining down on you\n[Verse 2: Lupe Fiasco]\nNo, I ain’t that nigga trying to get a liquor line\nWhen I be scripting lines, want this petition signed\nIt says I’m sick of dyin', sick of this prison time\nI really love my people, I’m sick of pimping mine\nNow if we Auto-Tune that shit\nWe can hear the songs from that opera groomed fat bitch\nTelling us not to pursue it, just to shoe it like a blacksmith\nWe’re trapped, and moving round in circles like it’s Chapstick\nAnd that’s the same encircled way of thinking that we chat with\nWe’ll wrap this around your head\nLike the bandanas Fabolous used to wrap his hats with\nRather be in \nFEDS\n instead of \nNational Geographics\nWell, I’m not having it, nawwww"
"One and the Same - From ""Princess Protection Program""",Selena Gomez,Demi Lovato,1QkJBQnCv81ef7gyWMDL3Q,47,2009-01-01,day,0.497,0.973,9,-3.179,1,0.0688,0.00072,1.08e-05,0.208,0.711,157.959,4,180960,"[Intro: Demi Lovato]\nHey, hey, hey!\nLa, la, la, la, la\nHey, hey, hey!\nLa, la, la, la, la\n[Verse 1: Selena Gomez, \nDemi Lovato\n]\nYou come from here, I come from there\nYou rock out in your room, I rock a world premiere\nWe're more alike than anybody could ever tell\nFriday we're cool, Monday we're freaks\nSometimes we rule, sometimes we can't even speak\nBut we kick it up, let loose and LOL\n (\nLOL\n)\n[Pre-Chorus 1: Selena Gomez, \nDemi Lovato\n]\nIt may seem cliché for me to wanna say that you're not alone (that you're not alone)\nAnd you can call me uncool, but it's a simple fact\nI got your back\nYeah, yeah, yeah\n[Chorus 1: Demi Lovato & Selena Gomez]\n'Cause we're one and the same\nWe're anything but ordinary\nOne and the same\nI think we're almost legendary\nYou and me, the perfect team\nChasing down the dream\nWe're one and the same\nHey, hey, hey!\nLa, la, la, la, la\n[Verse 2: Demi Lovato, \nSelena Gomez\n]\nI'm kinda like you, you're kinda like me\nWe write the same song in a different key\nIt's got a rhythm, you and me can get along\n[Pre-Chorus 2: Selena Gomez, \nDemi Lovato\n]\nAnd it may seem cliché for me to wanna say that you're not alone (\nHere I go again\n)\nAnd you can call me uncool, but it's a simple fact\nI still got your back\n (I still got your back)"
Lost You Anyway,Toby Keith,,25KX7nIM4INAkiGH7LY8xF,24,2008-10-28,day,0.405,0.744,6,-3.791,0,0.034,0.205,0.0112,0.0865,0.367,150.225,4,218267,"[Verse 1]\nMaybe you were right, maybe I could have changed\nSitting here alone tonight thinking 'bout a lot of things\nWhat's a man to say when all the questions start\nHell I know deep down inside my broken heart\n[Chorus]\nCould've tried just a little bit harder\nKissed you just a little bit sweeter\nHeld on just a little bit longer\nDug down just a little bit deeper\nLet the world revolve around you\nAnd give you the stars above\nLoved you just enough to make you stay\nAnd I'd lost you anyway\n[Verse 2]\nI hate it when it's like this, baby it's like that now\nNothing I can say to you, you even care to talk about\nHow you going to dress it up, wrap it in a pretty bow\nWhen it's gone, it's gone for good, baby at least I know\n[Chorus]\nCould've tried just a little bit harder\nKissed you just a little bit sweeter\nHeld on just a little bit longer\nDug down just a little bit deeper\nLet the world revolve around you\nAnd give you the stars above\nLoved you just enough to make you stay\nAnd I'd lost you anyway\n[Outro]\nLet the world revolve around you\nAnd given you the stars above\nLoved you just enough to make you stay\nAnd I'd lost you anyway"
