song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
One More Day,New Edition,,61jNGa6MxlzLNsDqyqn0Bi,32,1996-01-01,day,0.655,0.742,7,-6.247,1,0.0448,0.402,3.03e-05,0.106,0.429,88.031,4,304467,"[Intro: Ralph Tresvant]\nYeah, I can't deny it\nOn the inside, I'm slowly dying\nBut with a little love, it'll be alright\nJust give me one more day\nI promise I'll make it up to you\nI never meant to hurt you, baby\nJust trust me, listen\n[Verse 1: Ricky Bell]\nI can't deny it, that you got me crying, you see\nAnd I'm, I'm slowly dying, so we can't give up trying to be\nWith a little love, it will be all right\nWith a little kiss, let me hold you tight\nWith a little peace, it could be fine\nAnd baby, don't you leave me tonight\n[Hook: Ricky Bell]\nI just need one more day, and I won't make you cry\nDarling believe, and baby don't say goodbye\nLook in my heart, and I won't tell you no lies\nJust one more day, and loving me will be fine\n[Verse 2: Ricky Bell]\nPeople tell me that true love is blind\nBut I'm trying to prove that true love is kind\nAll that I want is to make things right\nSo won't you be my baby tonight\n[Hook: Ricky Bell]\nI just need one more day, and I won't make you cry\nDarling believe, and baby don't say goodbye\nLook in my heart, and I won't tell you no lies\nJust one more day, and loving me will be fine\n[Bridge]\nOne more day (one more day, one more day)\nOne more day (one more day, one more day)\nOne more day (one more day, one more day)\nOne more day (one more day, one more day)\nWith a little love it will be all right\nWith a little kiss let me hold you tight\nWith a little peace it could be fine\nAnd baby don't you leave me tonight\nI just need one more day"
For You,Kenny Lattimore,,4eI8okfmurpexL41RdjkGA,53,1996-05-14,day,0.626,0.42,4,-11.796,1,0.0339,0.75,0.0,0.0648,0.498,137.681,4,237200,"For you I give a lifetime of stablility\nAnything you want of me\nNothing is impossible\nFor you there are no words\nOr ways to show my love\nOr all the thoughts I'm thinking of\n'Cause this life is no good alone\nSince we've become one\nI've made a change\nEverything I do now makes sense\nAll roads end, all I do is for you\nFor you I share the cup of love that overflows\nAnd anyone who knows us knows\nThat I would change all faults I have for you\nThere is no low or high or in between\nOf my heart that you Haven't seen\n'Cause I share all I have and am\nNothing I've said is hard to understand\nAll I feel I feel deeper still\nAnd always will all this love is for you\nEvery note that I play\nEvery word I might say\nEvery melody I feel\nAre only for you and your appeal\nEvery page that I write\nEveryday of my life\nWould not be filled without the things\nThat my love for you now brings\nFor you I'd make a promise of fidelity\nNow and for eternity\nNo one could replace this vow\nFor you I'd take your hand and heart\nAnd everything and add to them a wedding ring"
"I Believe I Can Fly (From ""Space Jam"")",R. Kelly,,,,,,,,,,,,,,,,,,,
Can't Nobody Hold Me Down,Puff Daddy,Mase,2bJBKDUrg7j5QHJGqWhQXZ,16,2022-08-12,day,0.922,0.84,6,-4.591,0,0.218,0.0725,0.00223,0.326,0.74,94.034,4,307907,"[Intro: Puff Daddy]\nBad Boy\nWe ain't gon' stop\n[Verse 1: Puff Daddy & \nMase\n]\nNow it's Sean on the hot track,\n \nmelt like it's hot wax\nPut it out, all the stores, bet you could shop that (That's right)\nLeave a nigga with a hot hat\nFronting like Bad Boy ain't got tracks, nigga, stop that\nThere's no guy slicker than this young fly nigga\nNickel-nine nigga, floss, you die quicker (Uh-huh)\nDid fed time, out-of-town pie-flipper\nTurn Cristal into a crooked-I-sipper\nEverybody want to be fast, see the cash\nFuck around, they weak staff get a heat rash\nAnything in Bad Boy way, we smash (We smash)\nHundred-G stash, push a bulletproof E-Class (Ahaha)\nI'm through with bein a player and a baller\nJust want me one bad bitch so I can spoil her\nMase wanna be the one you respect, even when you're vexed\nRock Versace silks over silk V-necks\nGot green never seen, so you suck my jewels\nClutch my Uz', anything I touch, I bruise\nPuff make his own law, nigga, fuck your rules (That's right)\nGoodfellas, you know you can't touch us dudes\n[Chorus: Puff Daddy & Mase]\nDon't push us 'cause we're close to the edge\nWe're trying not to lose our heads, aha-ha-ha-ha\n[Verse 2: Mase & \nPuff Daddy\n]\nBroken glass everywhere\nIf it ain't about no money, Puff, I just don't care (That's right)\nI'm that Goodfella fly guy, sometime wiseguy\nSpend time in H-A-W-A-I-I\nMase, can you please stop smoking la-la?\nPuff, why try? I'm a thug, I'ma die high\nI be out in Jersey, puffin' Hershey\nBrothers ain't worthy to rock my derby\nNo, I'm never drug-free when I'm the club, G\nThough I know the thugs be wantin' to slug me (Uh-huh)\nCould it be I move as smooth as Bugsy? (Yeah)\nOr be at the bar with too much bubbly? (Come on)\nYo, I think it must be the girls wanna lust me\nOr is it simply the girls just love me?\nBrothers wanna, rock my Rolls, rock my clothes\nRock my ice, pull out Glocks, stop my life (Ugh)\nI'm like, ""Damn, how these niggas got that trif'?\nUsed to be my man, how he gonna plot on my wife?""\nDo you think he snake me 'cause he hate me?\nOr he got his Ph.D., ""Player Hatin' Degree"" (Ahaha)"
Silent All These Years,Tori Amos,,3IZXUxoL1Q7yUj5mh3Tmqp,41,1992-01-06,day,0.484,0.158,4,-14.687,1,0.0374,0.94,1.64e-05,0.109,0.296,128.06,4,251226,"[Verse 1]\nExcuse me, but can I be you for a while?\nMy dog won't bite if you sit real still\nI got the Antichrist in the kitchen yelling at me again\nYeah, I can hear that\nBeen saved again by the garbage truck\nI got something to say, you know but nothing comes\nYes I know what you think of me, you never shut up\nYeah, I can hear that\n[Chorus]\nBut what if I'm a mermaid\nIn these jeans of his with her name still on it\nHey, but I don't care cause sometimes\nI said sometimes I hear my voice, and it's been\nHere, silent all these years\n[Verse 2]\nSo you found a girl who thinks really deep thoughts\nWhat's so amazing about really deep thoughts?\nBoy, you best pray that I bleed real soon\nHow's that thought for you?\nMy scream got lost in a paper cup\nYou think there's a heaven where some screams have gone\nI got 25 bucks and a cracker, do you think it's enough\nTo get us there?\n[Chorus]\nBut what if I'm a mermaid\nIn these jeans of his with her name still on it\nHey, but I don't care cause sometimes\nI said sometimes I hear my voice, and it's been\nHere, silent all these\n[Bridge]\nYears go by, will I still be waiting\nFor somebody else to understand?\nYears go by if I'm stripped of my beauty\nAnd the orange clouds raining in my head\nYears go by, will I choke on my tears\nTill finally, there is nothing left?\nOne more casualty, you know\nWe're too easy, easy, easy"
Insomnia - Radio Edit,Faithless,,7gWc0QEt2hoIkMv3XxPY1T,49,2014-11-28,day,0.71,0.757,7,-10.636,1,0.0302,0.0352,0.00306,0.138,0.492,127.107,4,213547,"[Intro]\nAnd here we are\nHalf past three in the morning\nI can't get no sleep\nYeah\nYeah\nI never sleep\nI never sleep\nI never sleep\nI never sleep\nI never sleep\n[Verse: Maxi Jazz]\nUh\nYeah, \nI only smoke weed when I need to\nAnd I need to get some rest\n---\nyo, where's the cess?\nI confess, I burned a hole in the mattress\nYes, yes, it was me, I plead guilty\nAnd at the count of three I pull back the duvet\nMake my way to the refrigerator\nOne dry potato inside, no lie, not even bread\nJam\n, \nwhen the light above my head went bam!\nI can't see, \nsomething's all over me, greasy\nInsomnia please release me\n \nand let me dream\nAbout making mad love on the heath\nTearing off tights with my teeth\nBut there's no relief\n, \nI'm wide awake in my kitchen\nIt's black and I'm lonely\nOh, if I could only get some sleep\nCreeky noises make my skin creep\nI need to get some sleep\nI can't get no sleep"
Every Time I Close My Eyes (with Kenny G),Babyface,Kenny G,2ezqQeBiC72gwMJoO4w1hA,62,1996-10-29,day,0.654,0.417,5,-7.699,1,0.025,0.0624,0.0,0.0963,0.279,143.676,4,296267,
"The World Tonight (From ""Fathers' Day"")",Paul McCartney,,,,,,,,,,,,,,,,,,,
Love II Love,Damage,,1m1xRfGOhuGUdgbqfU0U0B,38,1998,year,0.803,0.684,6,-7.668,0,0.0351,0.0801,0.0,0.0887,0.626,97.011,4,267093,"Oooh\nOh yeah\nOooh\nGirl, you know that\nCHORUS\nI love to love\nI love to love you\nNobody can change my mind\nYou're one of a kind\nI love to love\nI love to love you\nNo one loves me better, it's true\nVERSE ONE\nWas not so long ago\nThat I was all alone\nI had so much doubt in me\nAnd I had so many dreams\nBut fear got the best of me\nThen came you and you set me free\nRISE\nSo more than you know you're the one\nWho really really changed my life (you changed my life)\nNow whether I win or lose\nI will never be afraid to try\nThat's why\nCHORUS\nI love to love\nI love to love you\nNobody can change my mind\nYou're one of a kind\nI love to love\nI love to love you\nNo one loves me better, it's true\nVERSE TWO\nYou taught me how to dream\nThat no goal's beyond my reach\nSo now I reach for the sky\nLove me with honesty\nShowed me what the word should mean\nNow you're all I need to get by"
"The Perfect Drug (From ""Lost Highway"")",Nine Inch Nails,,,,,,,,,,,,,,,,,,,
