song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
We Might Be Dead by Tomorrow,Soko,,4miKDdaWW78mKwx6TIvOa0,48,2013-01-22,day,0.39,0.151,7,-16.492,1,0.0389,0.966,0.000897,0.119,0.0827,143.421,4,161413,"Give me all your love now\nCause for all we know\nWe might be dead by tomorrow\nI can't go on wasting my time\nAdding scars to my heart\nCause all I hear is ""I'm not ready now""\nAnd I can tell that you didn't have\nTo face your mother losing her lover\nWithout saying goodbye\nWithout saying goodbye\nCause she didn't have time\nI don't want to judge what's in your heart\nBut if you're not ready for love\nHow can you be ready for life?\nHow can you be ready for life?\nSo let's love fully and let's love loud\nAnd let's love now\nCause soon enough we'll die\nCause soon enough we'll die\nCause soon enough we'll die\nCause soon enough we'll die\nCause soon enough we'll die\nCause soon enough we'll die"
Blurred Lines,Robin Thicke,"T.I.,Pharrell Williams",0n4bITAu0Y0nigrz3MFJMb,76,2013-01-01,day,0.853,0.599,7,-4.756,1,0.0411,0.00334,7.93e-06,0.0759,0.843,119.993,4,263827,"[Intro: Pharrell Williams & Robin Thicke]\nEverybody get up\nEverybody get up\nHey, hey, hey\nHey, hey, hey (Uh)\nHey, hey, hey (Ha-ha! Woo!)\nTune me up\n[Verse 1: Robin Thicke]\nIf you can't hear what I'm trying to say (\nHey girl, come here!\n)\nIf you can't read from the same page (Hey)\nMaybe I'm going deaf (Hey, hey, hey)\nMaybe I'm going blind (Hey, hey, hey)\nMaybe I'm out of my mind (Hey, hey, hey)\nEverybody get up\n[Pre-Chorus: Robin Thicke]\nOkay, now he was close\nTried to domesticate you\nBut you're an animal\nBaby, it's in your nature (Meow)\nJust let me liberate you (Hey, hey, hey)\nYou don't need no takers (Hey, hey, hey)\nThat man is not your maker (Hey, hey, hey)\nAnd that's why I'm gon' take a (Everybody get up)\n[Chorus: Robin Thicke]\nGood girl\nI know you want it (Hey)\nI know you want it\nI know you want it\nYou're a good girl\nCan't let it get past me\nYou're far from plastic (Alright)\nTalkin' 'bout getting blasted\nI hate these blurred lines\nI know you want it (Hey)\nI know you want it (Oh yeah)\nI know you want it\nBut you're a good girl\nThe way you grab me\nMust wanna get nasty\nGo ahead, get at me\nEverybody get up (Come on!)"
Sail,AWOLNATION,,7ueP5u2qkdZbIPN2YA6LR0,75,2011-03-15,day,0.826,0.436,1,-9.583,1,0.0558,0.441,0.615,0.0964,0.272,119.051,4,259093,"[Intro]\nSail\n[Verse 1]\nThis is how I show my love\nI made it in my mind because\nI blame it on my ADD, baby\nThis is how an angel dies\nI blame it on my own sick pride\nBlame it on my ADD, baby\n[Chorus]\nSail\nSail\nSail\nSail\nSail\n[Verse 2]\nMaybe I should cry for help\nMaybe I should kill myself\nBlame it on my ADD, baby\nMaybe I'm a different breed\nMaybe I'm not listening\nSo blame it on my ADD, baby\n[Chorus]\nSail\nSail\nSail\nSail\nSail\n[Bridge]\nLa-la-la-la-la, la-la-la-la-la, oh\nLa-la-la-la-la, la-la-la-la-la, oh"
Sanctified,Rick Ross,"Kanye West,Big Sean",39RWgrQOBCLQH88wy0TBm9,48,2014-01-01,day,0.739,0.52,9,-6.301,1,0.0679,0.0754,0.0,0.382,0.247,126.037,4,289627,"[Produced by Kanye West, DJ Mustard, and Mike Dean]\n[Intro: Betty Wright]\nThere's a field with angels movin' around me\nI just worship thee, for all he's done for me\nIt's a new day, I have been born again\nI've been born again, I've been born again\nIn His spirit, and His name, I'm sanctified!\nLord I testify, he's right by my side\nI believe it be, His word is so clear to me\nYeah, yeah\n[Chorus: Big Sean & \nKanye West\n]\nAll I want's a hundred million dollars and a bad bitch\nPlus that paper chasin', it done turn me to a savage\nGroupies in the lobby, they just tryna get established\nGod, I've been guilty, fornicatin' from my status\nAll I wanted was a hundred million dollars and a bad bitch\nPlus that paper chasin', it had turned me to a savage\nGroupies in the lobby they just tryna get established\nGod, I've been guilty, fornicatin' from my status\n[Verse 1: Kanye West & \nRick Ross\n]\nNiggas be lovin' the old Ye\nThey sayin' the new Ye, that nigga be spazzin'\nBut when Ali turn up and be Ali\nYou can't ever change that nigga back to Cassius\nSo you can gon' and make up lies, but I'm so sanctified\nI don't sweat it, wipe my forehead with a handkerchief\nAnd wash my sins in the blood of Jesus\n \n(\nHunt)\nPeople sayin', ""Ye, we need another Yeezus""\n \n(\nHunt)\nLames try to tell me, ""Cut the wildin' out, out""\nBut who the fuck is you reachin'?\nPass me 30 bottles, champagne procession\nThat's that Holy water, sanctified refreshments\nGod sent me a message, said I'm too aggressive\nReally!? Me!? Too aggressive!?"
The Language,Drake,,3IQgeOgdHIag6mu0mgKRgQ,56,2013-01-01,day,0.831,0.651,1,-8.363,1,0.437,0.0125,0.0,0.0809,0.502,120.065,4,224013,"[Intro: Drake]\nYeah\nYeah, yeah\nYeah, yeah\nYeah, yeah\nYeah, yeah\nLook, look\n[Verse 1: Drake]\nI don't know why they been lyin' but your shit is not that inspirin'\nBank account statement just look like I'm ready for early retirement\nFuck any nigga that's talking that shit just to get a reaction\nFuck going platinum, I look at my wrist and it's already platinum\nI am the kid with the motor mouth\nI am the one you should worry 'bout\nI don't know who you're referring to\nWho is this nigga you heard about?\nSomeone just talking that bullshit\nMan, someone just gave you the run-around\nNiggas downplayin' the money\nBut that's what you do when the money down\nI don't waste time puttin' money down\nI just go straight to who got it and buy it in cash\nPussy so good that you gotta come see me on tour\nAnd you gotta fly in first class\nThis has been years in the makin'\nIt's all for the city, they know I come right every summer\nCash Money Records forever, I'm always big timin'\nBitch, I came up right under Stunna, you know it\n[Chorus: Drake]\nJealousy in the air tonight, I could tell\nI will never understand that, but oh well\nBeen ready, it's real, I don't know about you\nShe just want to smoke and fuck\nI said, ""Girl, that's all that we do""\nOkay, now you're talkin' my language\nNow you're talkin' my language\nNow you're talkin' my language\nNow you're talkin' my language\nBeen ready, it's real, I don't know about you\nShe just want to smoke and fuck\nI said, ""Girl, that's all that we do""\n[Verse 2: Drake]\nI'm 'bout to roll one and light it\nAnd fuck it, man, no one's invited\nI got to kill off the weak shit that's got all you niggas excited\nI can't even listen, you wildin'\nI'd much rather sit here in silence\nI send all my money to banks in the islands\nAnd eat with Italians, I do\nPeople are funny\nYou don't even know 'bout the shit that I been through\nI just want some head in a comfortable bed\nIt could all be so simple\nTalkin' that shit with your back to me\nJust know it always get back to me\nCome get your girl\nShe been here for three days and she way too attached to me\nHate when they get too attached to me\nI got to get on the bus and get back on the road\nGet what I can out the country\nAnd then I just get on the jet and go back to the cold\nCan't even drive with the top off\nBeen workin' so hard on the album, I missed the whole summer\nI just might bring in some girls from Miami to heat up the city\nAnd that's word to Stunna, you know it"
Ordinary Love - Extraordinary Mix,U2,,5K8cyMKcnG4rx5ocW3u7OW,57,2017-12-01,day,0.617,0.621,11,-10.233,1,0.0306,0.0207,3.8e-05,0.0879,0.378,124.992,4,227173,[Verse 1]\nThe sea wants to kiss the golden shore\nThe sunlight warms your skin\nAll the beauty that's been lost before\nWants to find us again\nI can't fight you anymore\nIt's you I'm fighting for\nThe sea throws rocks together\nBut time leaves us polished stones\n[Chorus]\nWe can't fall any further\nIf we can't feel ordinary love\nAnd we cannot reach any higher\nIf we can't deal with ordinary love\n[Verse 2]\nBirds fly high in the summer sky\nAnd rest on the breeze\nThe same wind will take care of you and I\nWe'll build our house in the trees\nYour heart is on my sleeve\nDid you put there with a magic marker\nFor years I would believe\nThat the world couldn't wash it away\n[Chorus]\n'Cause we can't fall any further\nIf we can't feel ordinary love\nAnd we cannot reach any higher\nIf we can't deal with ordinary love\n[Bridge]\nAre we tough enough\nFor ordinary love
The Devil Is A Lie,Rick Ross,JAY-Z,1FfxSgLHUkNCCLdZ7wrCTY,59,2014-01-01,day,0.68,0.83,5,-3.922,0,0.0897,0.00169,0.0,0.382,0.638,102.91,4,310667,"[Produced by Major Seven, Co-Produced by KE on The Track]\n[Intro: Rick Ross]\nMasterminds!\n \nWe gon' get this forever\nYou know whenever we link up, my nigga\nThey think this shit comes from outer space or something, haha\nNigga, let’s get this money nigga, woo, woo\nMasterminds, R-O-C, double M-G!\nJay, I got it, I got it\n[Verse 1: Rick Ross]\nFour stacks for the heels on my bitch feet\nCar seats still smelling like 10 ki's\nTell the plug that I'm lookin' for an increase\nWingstop, fat boy need a 10 piece\nSay a nigga name and the car start\nNigga switching lane to lane like Wal-Mart\nSippin' Bordeaux out in Bordeaux\nHazard lights flashing on the four-door\nSwitch the Benzo for the Enzo\nBack to the Benzo when the ends low\nSwitch my old bitch for my new bitch\nCause my new bitch something like a nympho\nFuck the game raw when I came in it\nGetting money ever since I came in it\nYou couldn't stop me if you tried\nMotherfucker cause the devil is a lie\n[Chorus: Rick Ross]\nBig guns and big whips\nRich nigga talkin' big shit\nDouble cup, gold wrist\nDouble up on that blow, bitch!\nTwo mill' on that I-95\nBow your head cause it's time to pay tithes\nOpposition want me dead or alive\nMotherfucker, but the devil is a lie\nThe devil is a lie, bitch I'm the truth\nThe devil is a lie, bitch I'm the proof\nThe devil is a lie, the devil is a lie\nBitch I'm alive, the devil is a lie\n[Verse 2: Rick Ross]\nTwo kings on the big screen\nNiggas seen a 36 at 16\n100K for the 16\nNigga's stick dirty but his dick clean\nMy money goin' on the deep end\nTalkin' half a milli' for the weekend\nContract like a nigga play defense\nCurtains in the Maybach bitch peek in\nNow the bitches wanna car hop\n6 cribs for the cars in the car lot\nDope boys on the goal nigga\nWent gold 6 times for a gold digger\nBlack bottle and a bad bitch\nClub Armani where the cash is\nDubai I can do it like a sheikh\nTop floor nigga, Burj Khalifa!"
Glory And Gore,Lorde,,60jI0JgMLLj1VggHJVhtRs,64,2013-09-27,day,0.689,0.377,1,-8.761,1,0.0397,0.285,0.0,0.268,0.294,143.946,4,210738,"[Verse 1]\nThere's a humming in the restless summer air\nAnd we're slipping off the course that we prepared\nBut in all chaos, there is calculation\n(Drop-drop-drop-drop) Dropping glasses just to hear them break\nYou've been drinking like the world was gonna end (It didn't)\nTook a shiner from the fist of your best friend (Go figure)\nIt's clear that someone's gotta go\nWe mean it, but I promise we're not mean\n[Pre-Chorus]\nAnd the cry goes out (Oh)\nThey lose their minds for us\nAnd how it plays out (Oh)\nNow we're in the ring and we're coming for blood\n[Chorus]\n(Oh, oh) You could try and take us\n(Oh, oh) But we're the gladiators\n(Oh, oh) Everyone a rager\n(Oh, oh) But secretly they're saviours\nGlory and gore go hand in hand\nThat's why we're making headlines\n(Oh, oh) You could try and take us\n(Oh, oh) But victory's contagious\n[Verse 2]\nDelicate in every way but one (The swordplay)\nGod knows we like archaic kinds of fun (The old ways)\nChance is the only game I play with, baby\nWe let our battles choose us\n[Pre-Chorus]\nAnd the cry goes out (Oh)\nThey lose their minds for us\nAnd how it plays out (Oh)\nNow we're in the ring and we're coming for blood\n[Chorus]\n(Oh, oh) You could try and take us\n(Oh, oh) But we're the gladiators\n(Oh, oh) Everyone a rager\n(Oh, oh) But secretly they're saviours\nGlory and gore go hand in hand\nThat's why we're making headlines\n(Oh, oh) You could try and take us\n(Oh, oh) But victory's contagious"
Adrenalina (feat. Jennifer Lopez & Ricky Martin),Wisin,"Jennifer Lopez,Ricky Martin",2eqDUxbd0JPEhNrJdPlHLs,64,2014-03-18,day,0.685,0.944,5,-2.793,1,0.145,0.0856,0.0,0.0927,0.757,124.987,4,235547,"[Letra de ""Adrenalina"" ft. Jennifer Lopez & Ricky Martin]\n[Intro: Wisin]\nLet's go\n¡Doble U!\n[Verso 1: Wisin]\nMe gusta cuando sexy te me pegas (Ajá)\nTu seducción a la hora de bailar (¡Ricky Martin!)\nEse juego que tienen tus caderas (¡Jennifer Lopez!)\nA cualquier hombre pone a delirar\n[Pre-Coro: Ricky Martin & \nWisin\n]\nEs que tu cuerpo\nEs pura adrenalina que por dentro me atrapa\nMe tiene al borde de la locura\nEs que tu cuerpo (\nAjá\n)\nEs pura adrenalina que por dentro me atrapa\nMe tiene al borde de la locura\n[Coro: Wisin, Jennifer Lopez & Ricky Martin, \nJennifer Lopez\n]\nSube la adrenalina (¡Sube!)\nSube la adrenalina (¡Sube!; \nuh, uh, uh\n)\nSube la adrenalina (¡Sube!)\nSube la adrenalina, yeah (\nUh, uh\n)\n[Skit: Wisin & \nJennifer Lopez\n]\nOk, hay una sensación rara en tu cuerpo\nSientes que pierdes el control\n¡Jennifer Lopez!\nHeh\n¡Duro!\n[Verso 2: Jennifer Lopez & \nWisin\n]\nEscucha, baby, si solo supieras (\nAjá\n)\nQue tienes algo que me hace vibrar\nTus movimientos a mí me aceleran\nCuando empezamos, no puedo parar (\nLet's go!\n)"
They Don't Know,Rico Love,,4tzrdaXrV7FQMLoM0FvXdZ,36,2014-01-01,day,0.777,0.548,10,-6.836,0,0.0596,0.145,0.0,0.154,0.428,100.005,4,296733,"[Hook]\nThey don't know\nThey don't, they don't know\nThey don't, they don't know\nThey don't know\nThey don't, they don't know\nThey don't, they don't know\nThey don't know\nWe be in the same room\nWe don't ever say shit\nLet's keep it between me and you\nAnd we cool, cause they don't know\n[Verse 1]\nI'm the one you be textin' when you be up at your job\nI'm the one that brought that Benz that's in your garage\nI'm the reason you don't stress when shit gets hard\nAnd anything you want, it's all yours\nThey don't know\nOn your birthday I'm the one who saw your birthday suit\nGot that Birkin bag and bought that birthday coupe\nI keep it all real, I ain't gotta tell lies to you\nYou're the only one who knows the truth\n[Hook]\nThey don't know\nThey don't, they don't know\nThey don't, they don't know\nThey don't know\nThey don't, they don't know\nThey don't, they don't know\nThey don't know\nWe be in the same room\nWe don't ever say shit\nLet's keep it between me and you\nAnd we cool, cause they don't know\nThey don't know\nThey don't, they don't know\nThey don't know\nThey don't, they don't know\nThey don't know\nThey don't, they don't know\nThey don't know\nThey don't even know I know you\nYou don't be talking like a lame bitch\nYou follow the rules, we keep it cool\nCause they don't..."
