song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
"Hey Leroy, Your Mama's Callin' You",Jimmy Castor,,1o4emNAxfYGZU6vugcv0XP,42,1967-08-17,day,0.713,0.79,0,-8.853,1,0.0399,0.398,0.478,0.225,0.951,105.762,4,150227,"Hey, Leroy\nWhat\nYour Mama, she's calling you, man\nGo to your Mama\nGo to your Mama\nGo to your Mama\nGo to your Mama\nGo to your Mama\nGo to your Mama\nGo to your Mama\nHey, Leroy\nWhat\nYour Mama, she's calling you\nShe's mad, man\nHey, Leroy\nAre you done, man\nYour Mommy's walkin' down there\nGo to your Mama\nGo to your Mama\nGo to your Mama"
"Ride, Ride, Ride",Brenda Lee,,,,,,,,,,,,,,,,,,,
Tramp - Live,Lowell Fulson,,3566Hq03kwDoZipjf1ROoy,5,2013-11-19,day,0.418,0.914,5,-3.709,1,0.0527,0.227,0.00561,0.747,0.71,117.188,4,258107,
I Wish You Could Be Here,The Cyrkle,,4m4vlae7fycsqeVX7W4qkX,16,1991-08-27,day,0.466,0.25,0,-18.466,1,0.0338,0.208,0.676,0.0945,0.713,152.47,4,168840,"Lookin' from my window\nAt the freshly fallen snow\nThat sparkles as it tumbles\nUpon the street below\nAnd the crackle of the fire\nIs laughing in my ear\nAnd the room is warm and sleepy\nI wish you could be here\nSundays in this town\nThere's not a lot for me to do\nI've been listenin' to some records\nBut my thoughts have, turned to you\nI try to read the paper\nBut the words aren't very clear\nAnd I know there's something missing\nI wish you could be here\nI wish you could be here\nI keep listening for your footsteps\nOr your key turning in the door\nI sure could use your company\nBut we've been through that before\nThe winter's gonna last\nA long time this year\nI've got lots of empty time to kill\nI wish you could be here\nI wish you could be here\nI wish you could be here......\nHere\nHere\nHere\nHere"
Something Good (Is Going To Happen To You),Carla Thomas,,4dp6dBDTRVQS7UKRuZFdOl,6,1991,year,0.837,0.324,5,-18.955,0,0.0393,0.408,0.00045,0.0349,0.965,116.753,4,158040,"Yes, it is, honey\nSomething good's gonna happen to you\nWell, all right now\nI lost all faith in man\nBut you took by my hand\nSaid that I looked just for you\nWe're gonna prove that\nYou're really true now\nSomething (something)\nGood's gonna happen to you\nYes, it is now\nSomething (something)\nGood's gonna happen to you\nWell, all right\nI didn't give in fast\nThat kind of love never lasts\nThen at night, you had no rest\nMakes me know that you\nPassed the test now\nSomething (something)\nOh, good's gonna happen to you\nOh, oh, oh, yeah\nI'm gonna love you right\nMorning, noon and night\nLove you when you call\n'Cause you deserve it all\nOh, that's why\nSomething (something)\nOh, good's gonna happen to you\nYes, it is\nSomething (something)\nGood's gonna happen to you\nI'm gonna make it\nOh, oh, oh, yeah, ooh\nSomething good's gonna happen to you\nSomething good's gonna happen to you"
Ten Commandments,Prince Buster,,6RXoA806Vy7clqPkcKiIjx,32,2000,year,0.731,0.538,8,-11.013,1,0.0538,0.0704,0.648,0.081,0.908,123.789,4,208893,"Theses are the ten commandments from man\nGiven to woman\nThrough the inspiration of I, Prince Buster\nOne\nThou shall have no other man but me\nTwo\nThough shall not encourage no man to make love to you\nNeither kiss or caress you\nFor I am your man, a very jealous man\nAnd is ready to lay low any other man who may intrude on our love\nThree\nRemember to kiss and caress me\nHonor and obey me, in my every whim and fancy\nSeven days a week and twice on Sundays\nBecause at no time will I ever be tired 0f I-T ""it""\nFour\nHonor my name, so that every other woman may honor it also\nFive\nThou shall not provoke me to anger\nOr my wrath will descend upon you heavily\nCommandment Six\nThou shall not search my pockets at night\nOr annoy me with your hearsays\nCommandment Seven\nThou shall not shout my name in the streets\nIf I am walking with another woman\nBut wait intelligently until I come home\nThen we can both have it out decently\nFor I am your man, a funny man\nAnd detest a scandal in public places\nCommandment Eight\nThou shall not drink, or smoke\nNor use profane language\nFor those bad habits I will not stand for\nNine\nThou shall not commit adultery\nFor the world will not hold me guilty if I commit murder\nTen\nThou shall not covet thy neighbor's dress\nNor her shoes, nor her bureau, nor her bed, nor her hat\nNor anything that's hers\nNeither shall thou call my attention to anything that may be for sale\nIn any stores, for I will not give thee anything\nBut what you actually need for your purpose\nThese are the ten commandments from man\nGiven to woman\nBy me, Prince Buster"
"Sunrise, Sunset",Roger Williams,,,,,,,,,,,,,,,,,,,
Just Be Sincere,Jackie Wilson,,0ydH7amZ8mOIVE2GIfOYx1,7,1966,year,0.515,0.699,0,-7.316,0,0.0483,0.657,0.0,0.154,0.783,111.28,4,175400,"(Just be sincere to me)\n(Just be sincere to me)\nYou say you love me\nAn I believe it's true\nBut there's something going down\nIt's all over town\nTalk around's about you\nOh, I don't want to hear these things\nPlease say it's untrue\nPlease tell me darling\nWhat the people say\nIs not true about you\n(Just be sincere to me)\n(Just be sincere to me)\nNow the talk is loud\nIt's all over town\nIt's driving my hopes into the ground\nI ask you to explain to me\nThis hurt and pain\nBut your excuses are always the same\nOh, I don't want to hear these things\nPlease say it's untrue\nPlease tell me darling\nWhat the people say\nIs not true about you\n(Just be sincere to me)\n(Just be sincere to me)\nNow I've had all that I can stand\nI think you've filled your cup\nI try to turn around the facts ever laid down\nBut two and two don't add up\nOh, don't think it's all right for you\nTo treat me this way\nI'm down on my knees, every night\nAnd I'm hoping you'll hear me pray\n(Just be sincere to me)\n(Just be sincere to me)\n[To fade]"
Girls Are Out To Get You,The Fascinations,,,,,,,,,,,,,,,,,,,
People Like You,Eddie Fisher,,6cahHUfSQDIB8i0Yx3srwx,1,1967-04-24,day,0.49,0.339,0,-8.351,1,0.0375,0.924,0.0,0.183,0.649,120.94,4,132773,Oh yes it's people like you make life worthwhile for people like me\nAnd that's why people like me fall in love with people like you\nIt's such a good feeling to wake up and know\nThat somebody's heart goes wherever you go\nThat somebody's waiting with a sweet caress\nTo bring you happiness\nOh yes it's people like you who bring sunny skies to people like me\nAnd that's why people like me lose their hearts to people like you\nLife used to be lonely\nNo roses and wine\nBut now that's all over\nSince you said you're mine\nWhen somebody love you all at once you see\nHow beautiful life can be\nOh yes it's people like you make life worthwhile for people like me\nAnd that's why people like me fall in love with people like you\nOh yes it's people like you make life worthwhile for people like me\nAnd that's why people like me fall in love with people like you\nOh yes it's people like you make life worthwhile for people like me\nAnd that's why people like me fall in love with people like you
