song,artist,features,track_id,popularity,release_date,release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,lyrics
Calling All Angels,Train,,0E29BKKGCJHcb7b9oIWgGB,58,2003-06-03,day,0.454,0.839,3,-5.368,1,0.0441,0.0746,0,0.279,0.529,166.166,4,242200,"[Verse 1]\nI need a sign to let me know you're here\nAll of these lines are being crossed over the atmosphere\nI need to know that things are gonna look up\n'Cause I feel us drowning in a sea spilled from a cup\nWhen there is no place safe\nAnd no safe place to put my head\nWhen you can feel the world shake\nFrom the words that are said\n[Chorus]\nAnd I'm calling all angels\nAnd I'm calling all you angels\nI won't give up if you don't give up\nI won't give up if you don't give up\nI won't give up if you don't give up\nI won't give up if you don't give up\n[Verse 2]\nI need a sign (A sign) to let me know you're here (You're here)\n'Cause my TV set just keeps it all from being clear (Being clear)\nI want a reason for the way things have to be (Have to be)\nI need a hand to help build up\nSome kind of hope inside of me\n[Chorus]\nAnd I'm calling all angels\nAnd I'm calling all you angels\n[Bridge]\nWhen children have to play inside\nSo they don't disappear (Disappear)\nWhile private eyes solve marriage lies\n'Cause we don't talk for years (We don't talk for years)\nAnd football teams are kissing queens\nAnd losing sight of having dreams\nIn a world that what we want\nIs only what we want until it's ours (Ours, ours)\n[Chorus]\nAnd I'm calling all angels\nAnd I'm calling all you angels\n[Chorus]\nAnd I'm calling all angels\n(I won't give up if you don't give up)\n(I won't give up if you don't give up)\nAnd I'm calling all you angels\n(I won't give up if you don't give up)\n(I won't give up if you don't give up)"
Into You (feat. Tamia),Fabolous,Tamia,0yHConG49418wPs8UfAt44,67,2003-02-01,day,0.546,0.538,7,-7.886,0,0.0523,0.233,0,0.118,0.58,182.12,4,295773,"[Intro: Fabolous & \nAshanti\n]\nBaby girl (\nI really like\n)\nDesert Storm (\nyeah\n)\n[Verse 1: Fabolous]\nI can't really explain it\nI'm so into you now, I want to be more than a friend of you now\nWhen they ask, I mention my baby girl in the interviews now\nAnd I don't bring the problems from the '90s into 2 thou'\nThere's no reason to have a friend or two now\n'Cause the kid's ready to tell you how he feel in a few vows\nMaybe, I'm speakin' general now\nBut girl I'ma do whatever just to keep a grin on you now\nWhere I go, they wear bikinis in the winter too now\nWhat you think about, tan lines on the skin of you now\nWhy wouldn't I wanna spend a few thou'\nOn Fifth Ave. shoppin' sprees, and them dinners to Chow's\nI ain't concerned what other men would do now\nAs long as when I slide up in you, you growl\nAnd any dude with you, he better be a kin of you now\nAnd I ain't jealous, it's the principle now\nI'm so into you\n[Chorus: Ashanti]\nI really like what you've done to me\nI can't really explain it\nI'm so into you\nI really like what you've done to me\nI can't really explain it\nI'm so into you\n[Verse 2: Fabolous]\nCome on ma, it's more than a flashin'\nI woulda traded it all, in orderly fashion\nMy villa in Florida we crashin'\nJust off the shore, so you can hear when the water be splashin'\nThe drop top three and a quarter we dashin'\nThe flawless diamonds, and the border we flashin'\nThe money, we oughta be stashin'\nI make sure every quarter be cashed in, I can't really explain it\nMy friend be thinkin' I'm slippin', these girls be thinkin' I'm trippin'\nWhat kinda weed he be smokin', what type of drinks you be sippin'\nSweet thing, just to think of you dippin'\nWould have me with the blue's so hard, you would think I was Crippin'\nNow, you relaxin' in the Benz, credit cards with no limits\nSo you don't worry about maxin' when you spend\nEver since you've been askin' 'bout the friends\nHow'd you like it if, both our name's had Jackson on the ends, uh"
Faint,Linkin Park,,4Yf5bqU3NK4kNOypcrLYwU,76,2003-03-24,day,0.554,0.978,4,-3.554,1,0.131,0.111,0,0.0731,0.594,135.095,4,162600,"[Verse 1: Mike Shinoda]\nI am a little bit of loneliness\nA little bit of disregard\nHandful of complaints, but I can't help the fact\nThat everyone can see these scars\nI am what I want you to want\nWhat I want you to feel\nBut it's like no matter what I do, I can't convince you\nTo just believe this is real\n[Pre-Chorus: Mike Shinoda]\nSo I let go, watching you\nTurn your back like you always do\nFace away and pretend that I'm not\nBut I'll be here, 'cause you're all that I've got\n[Chorus: Chester Bennington]\nI can't feel the way I did before\nDon't turn your back on me, I won't be ignored\nTime won't heal this damage anymore\nDon't turn your back on me, I won't be ignored\n[Verse 2: Mike Shinoda]\nI am a little bit insecure\nA little unconfident\n'Cause you don't understand, I do what I can\nBut sometimes, I don't make sense\nI am what you never want to say\nBut I've never had a doubt\nIt's like no matter what I do, I can't convince you\nFor once, just to hear me out\n[Pre-Chorus: Mike Shinoda]\nSo I let go, watching you\nTurn your back like you always do\nFace away and pretend that I'm not\nBut I'll be here, 'cause you're all that I've got\n[Chorus: Chester Bennington]\nI can't feel the way I did before\nDon't turn your back on me, I won't be ignored\nTime won't heal this damage anymore\nDon't turn your back on me, I won't be ignored"
"Roc Ya Body ""Mic Check 1, 2""",M.V.P.,Stagga-Lee,1k5nyIskiZq4mbTElwO3PO,22,2003-01-01,day,0.904,0.712,10,-6.33,0,0.105,0.142,0,0.0742,0.758,103.051,4,202773,"Chorus\nRock ya body, mic check 1,2 cuz it ain't a party until my crew run through\nShake somebody, show me watcha can do, like oooh oooh\nRock ya body, mic check 1,2 DJ spin the music back into the groove\nPump it louder so the crowd wan' move, like oooh oooh\nVerse 1\nCheck, now\nI blaze the illist, so much skillis\nImpossible for u not to feel us\nThe Realist MC that chu ever met in ur life\nI'm tryin to see u work, with a lil sweat in ur life\nI got an idea, and it might sound silly\nBut I wanna roll ur body in a tight brown philly\nCrack it, lick it up, seal it n tight, get a light\nCuz u know we gonna burn it all night\nAnd I just might, double the ice on dent\nSo when u double the price, the advice ride in, c'mon\nChorus\nRock ya body, mic check 1,2 cuz it ain't a party until my crew run through\nShake somebody, show me watcha can do, like oooh oooh\nRock ya body mic check 1,2 DJ spin the music back into the groove\nPump it louder so the crowd wan' move, like oooh oooh\nVerse 2\nLike boom, I'll be at the hotel soon\nWe gon' put the lens on zoom, benz on room\nAs long as u got the right perfume\nAin't no body checking out the telly till noon\nU should get a sack tack, on the backbone\nStand back, I'm ill enough with tight sad songs\nHoney stop breathing when I step in the room\nAnd ain't no body leaving when I set in the boom\nChorus\nRock ya body, mic check 1,2 cuz it ain't a party until my crew run through\nShake somebody, show me watcha can do, like oooh oooh\nRock ya body mic check 1,2 DJ spin the music back into the groove\nPump it louder so the crowd wan' move, like oooh oooh\nI like it when u work for me, lemme see u do that boom boom\nI like the way u work that for me\nAnd if u wanna party baby we can get together boom boom\nCuz u know u make me so horny\nAnd baby u a hottie when u get up on the floor and boom boom\nNever wanted someone so badly\nWe can leave the club and get a telly get a room boom boom\nLeave the club, get a telly, get a room boom boom\n(clapping) lets go (more clapping)\nAll my ladies, sing along, c'mon"
Waiting for You,Seal,,5O1PysbsHILCIZDHQscUWn,22,2003-09-02,day,0.635,0.656,5,-5.04,0,0.0403,0.042,0,0.115,0.579,99.049,4,223493,"[Verse 1]\nEvery day, a shade of blue\nYou won't believe what I'm goin' through\nIt just feels like I can't afford to let myself go\nNo, oh-oh, no\n[Pre-Chorus]\nEveryone is just the same\nThey touch me, but I can't say\n[Chorus]\nThere has been no one brighter than you\nI can't deny these things that I do\nFeels like the world's at stake 'cause\nI have been waiting, I have been waiting for you\n[Verse 2]\nHeavenly, that's what you are\nYou're burning me, like a shining star\nHow am I supposed to be that king without you?\nOh-oh-oh, it's true, yeah\n[Pre-Chorus]\nEveryone is just the same\nThey love me, but I can't say"
Find A Way,Dwele,,3TkNsftUBh8dwwLUHpmYNC,54,2003-01-01,day,0.712,0.657,10,-5.888,0,0.149,0.0577,0,0.234,0.437,97.993,4,249573,"[Intro]\nMmm, oh, oh, oh, oh yeah\nOh, oh, oh, oh\nOh, oh, oh, oh\n[Verse 1]\nIt used to be...we would be...the best of all friends\nIt turned to be...L-O-V-E, and I was your man, so\nYou was my, lady-friend, we spent time\nI found a way to be by your side\nThrough the ins and outs, the wrongs and rights\nAfter a while of bein' settled down, I didn't know how\nTo keep the love, 'cause I was young\nI wish I knew then what I know now\nI wouldn't let you go, I swear I would've made this love grow\nI spent a lot of time and a lot of dough\nTryin' to match what we had and now I-I...\n[Chorus]\nI was hopin' we could find a way\n(Said I was hopin' we could find a way)\nTo have what we had again today\n(To have what we had again today)\nThough it's been some time since you and I\nIt wouldn't hurt to try (Hurt to try)\nTo find our love"
Where Is the Love? - Originally Performed By Black Eyed Peas,B the Star,,7iInDTMvYQrZnELy6nJ15s,0,2011-04-05,day,0.889,0.38,5,-9.727,1,0.0493,0.0916,0.123,0.0482,0.921,94.122,4,224341,"[Verse 1: will.i.am]\nWhat's wrong with the world, Mama?\nPeople livin' like they ain't got no mamas\nI think the whole world's addicted to the drama\nOnly attracted to things that'll bring you trauma\nOverseas, yeah, we tryna stop terrorism\nBut we still got terrorists here livin'\nIn the USA, the big CIA\nThe Bloods and the Crips and the KKK\nBut if you only have love for your own race\nThen you only leave space to discriminate\nAnd to discriminate only generates hate\nAnd when you hate, then you're bound to get irate, yeah\nMadness is what you demonstrate\nAnd that's exactly how anger works and operates\nMan, you gotta have love just to set it straight\nTake control of your mind and meditate\nLet your soul gravitate to the love, y'all, y'all\n[Chorus: Justin Timberlake]\nPeople killin', people dyin'\nChildren hurtin', hear them cryin'\nCan you practice what you preach?\nAnd would you turn the other cheek?\nFather, father, father, help us\nSend some guidance from above\n'Cause people got me, got me questioning\nWhere is the love?\n[Post-Chorus: will.i.am & \nFergie\n]\n(Love) Where is the love? (The love)\nWhere is the love? (The love)\nWhere is the love, the love, the love?\n[Verse 2: Taboo]\nIt just ain't the same, old ways have changed\nNew days are strange, is the world insane?\nIf love and peace is so strong\nWhy are there pieces of love that don't belong?\nNations droppin' bombs\nChemical gases filling lungs of little ones\nWith ongoing sufferin' as the youth die young\nSo ask yourself, is the lovin' really gone?\nSo I can ask myself, really, what is going wrong\nWith this world that we livin' in? People keep on givin' in\nMakin' wrong decisions, only visions of them dividends\nNot respectin' each other, deny thy brother\nA war is goin' on, but the reason's undercover\nThe truth is kept secret, and swept under the rug\nIf you never know truth, then you never know love\nWhere's the love, y'all? Come on (I don't know)\nAnd where's the truth, y'all? Come on (I don't know)\nAnd where's the love y'all?"
Thoia Thoing,R. Kelly,,5uj2AfrbHQREGXVxhqhvyU,37,2003-09-23,day,0.582,0.642,1,-4.925,1,0.307,0.274,2.98e-05,0.0717,0.936,85.565,4,221267,"Thoia Thoia Thoia (Uh)\nThoing Thoing Thoia Thoing (It's Kells)\nThoia thoia thoia thoia thoing\nI had her singing\nThoia thoia thoia thoia thoing thoing\nThoia thoia thoia thoia thoing\nShe had me singing\nThoia thoia thoia thoia thoing thoing\nThoia thoia thoia thoia thoing\n[Verse 1]\nTo who made need to know\nThat's her on the flo'\nSliding down the pole\nHorny but fo sho'\nBoth our hands we're up\nDrinks was in the cup\nShe showed me some love\nSo we left the club\nNow we up in the Hummer V\nShe's so hot she's kissing on me\nThis is the girl of my fantasy\nAfter the Remy we were doing our thing\n[Hook]\nI had her singing\nThoia thoia thoia thoing thoing thoing\nThoia thoia thoia thoia thoing\nShe had me singing\nThoia thoia thoia thoia thoing thoing\nThoia thoia thoia thoia thoing\nI had her singing\nThoia thoia thoia thoing thoing thoing\nThoia thoia thoia thoia thoing\nShe had me singing\nThoia thoia thoia thoia thoing thoing\nThoia thoia thoia thoia thoing\nNow I don't know about you\nBut I would like to get wit two(ah)\nNice honies while I'm chillin' by the pool (ah)\nRed bikinis with some pump heel shoes (ah)\nWho could think of any damn thing cooler\nWe at the crib so it ain't no rules (ah)\nI'm butt naked, sweat socks, and house shoes (ah)\n100 bottles of cris in the cool (ah)\nI'm frozen thanks the Jacob the Jeweler\nOne day without me and she's shaking like a fiend (ah)\nY'all tell me what's r&b without the R (ah)"
Naggin',Ying Yang Twins,,4QEoAZj6fVeSHj9ti2JpN8,47,2003-09-16,day,0.708,0.854,1,-5.724,0,0.0322,0.000682,0,0.278,0.914,100.005,4,263227,"[Intro: Kaine]\nWomen always talkin' about what men do\nWe don't never talk about what women do...at least 'til now\nCome on\n[Chorus: Kaine & (D Roc)]\nEvery now and then you get mad (Huh)\nSometime I make you sad (Huh)\nMake you want to say ""kiss my ass"" (Huh)\nI'm tired of listenin' to you naggin'\n""Wah-wah-wah-wah-wah""\nShe talking to me like I'm dumb\nI should have known\nI should have left that bitch alone\nBut now I'm stuck with\n""Wah-wah-wah-wah-wah""\nShe talking to me like I'm dumb\nI should have known (Should have known)\nI should have left that bitch alone\nBut now I'm stuck with (NAGGIN)\n[Verse 1: Kaine]\nThis for my niggas who be fuckin' 'round with them feelings\nAnd you get your heart caught up in a mess\n'Cause you lust just to fuck what's up her dress\nAnd never paid attention\n'Cause you didn't think the girl would start trippin'\nShawty flip the script\nStart saying all type of shit out of her lips\nI'ma tell you what I can't stand\nWhen a woman play the role of a man\nTalkin' to a nigga like you got to hold his hand\nTreat you like a spare, like you lack to understand\nI know you know that I ain't gon' go for this jaw jackin' all the time\nTalkin' to me out of line, broad, you done lost your mind\nYou gon' fuck round and get me some time\n[Chorus: Kaine & (D Roc)]\nEvery now and then you get mad (HUH)\nSometime I make you sad (HUH)\nMake you want to say ""kiss my ass"" (HUH)\nI'm tired of listenin' to you naggin'\n""Wah-wah-wah-wah-wah""\nShe talking to me like I'm dumb\nI should have known\nI should have left that bitch alone\nBut now I'm stuck with\n""Wah-wah-wah-wah-wah""\nShe talking to me like I'm dumb\nI should have known (Should have known)\nI should have left that bitch alone\nBut now I'm stuck with (NAGGIN)"
Walk A Little Straighter,Billy Currington,,2LUYGE3JUk4LIIobqI0jpr,41,2003-01-01,day,0.555,0.381,8,-8.448,1,0.0263,0.391,0,0.105,0.174,131.836,4,223733,"[Verse 1]\nI remember looking up\nTo look up to him\nAnd I remember most the time\nHe wasn't there\nI'd be waiting at the door\nWhen he got home at night\nHe'd pass me by to go to pass out in his chair\n[Chorus]\nAnd I'd say\n""Walk a little straighter daddy\nYou're swaying side to side\nYour footsteps make me dizzy\nAnd no matter how I try\nI keep tripping and stumbling\nIf you'd look down here you'd see\nWalk a little straighter daddy\nYou're leading me""\n[Verse 2]\nHe stumbled in the gym\nOn graduation day\nAnd I couldn't help but feel\nSo ashamed\nAnd I wasn't surprised a bit\nWhen he didn't stay\nHe stumbled out before they called my name\n[Chorus]\nAnd I thought\n""Walk a little straighter daddy\nYou're swaying side to side\nIt's not just me who's watching\nYou've caught everybody's eye\nAnd you're tripping and stumbling\nAnd even though I've turned eighteen\nWalk a little straighter daddy\nYou're still leading me""\n[Verse 3]\nThe old mans still like he always was\nBut I love him anyway\nIf I've learned one thing from him\nIts my kids will never have to say"
